level,taxa,n_species,n_host_record
genus,Capis,2,0
genus,Capnolocha,1,0
genus,Capnophylla,2,0
genus,Capnoptycha,4,0
genus,Capnosema,1,0
genus,Capparidia,1,0
genus,Capperia,21,3
genus,Cappsia,1,0
genus,Capricornia,1,0
genus,Caprima,20,0
genus,Caprinia,9,0
genus,Caprona,12,1
genus,Capua,25,1
genus,Capusa,6,2
genus,Caradjaina,1,0
genus,Caradjaria,1,0
genus,Caradrinopsis,1,0
genus,Carales,4,0
genus,Carathis,5,0
genus,Carbia,7,0
genus,Carcha,4,0
genus,Carcharoda,3,0
genus,Carcharodus,20,2
genus,Carcinarctia,6,0
genus,Carcinopodia,3,0
genus,Carcinopyga,4,0
genus,Cardamyla,4,2
genus,Carea,51,5
genus,Careades,1,1
genus,Carectocultus,4,2
genus,Carelis,2,1
genus,Cargida,1,0
genus,Cargolia,9,1
genus,Caria,22,1
genus,Carige,13,1
genus,Carilephia,1,0
genus,Carillade,1,0
genus,Cariomothis,7,0
genus,Caripeta,15,6
genus,Caripraea,1,0
genus,Caristanius,4,2
genus,Carmala,1,0
genus,Carminibotys,2,0
genus,Carnegia,1,1
genus,Caroga,1,0
genus,Carohamilia,3,0
genus,Carolella,2,0
genus,Carpatolechia,12,0
genus,Carpella,7,0
genus,Carphoides,5,0
genus,Carpholithia,1,0
genus,Carphomigma,1,0
genus,Carpostalagma,4,0
genus,Carptima,1,0
genus,Carrhenes,12,1
genus,Carriola,5,0
genus,Carsia,11,1
genus,Carsina,7,0
genus,Carsina_auctorum,1,0
genus,Cartagogena,3,0
genus,Cartaletis,14,1
genus,Cartea,4,0
genus,Cartellodes,5,0
genus,Cartericella,1,0
genus,Carteris,4,0
genus,Carterocephalus,29,2
genus,Carthade,1,0
genus,Carthaea,1,1
genus,Carthara,2,0
genus,Caryatis,3,0
genus,Caryocolum,82,30
genus,Caryonopera,9,0
genus,Carystina,3,0
genus,Carystoides,20,2
genus,Carystus,11,3
genus,Casama,5,0
genus,Casandria,15,0
genus,Casbia,45,1
genus,Casilda,5,0
genus,Casperia,5,0
genus,Casphalia,8,1
genus,Cassephyra,5,0
genus,Cassiana,1,0
genus,Cassyma,11,0
genus,Cassythaphaga,1,0
genus,Castalius,46,1
genus,Castronia,1,0
genus,Castulo,1,0
genus,Casuaria,9,0
genus,Casuariclystis,1,1
genus,Catacantha,11,0
genus,Cataclysme,8,0
genus,Cataclysta,76,1
genus,Catacore,4,0
genus,Catacrismia,1,0
genus,Catada,25,2
genus,Catadelpha,1,0
genus,Catadelta,1,0
genus,Catadoides,5,0
genus,Catadupa,1,0
genus,Catagela,4,1
genus,Catagramma,147,4
genus,Catajana,1,0
genus,Catalana,1,0
genus,Catalaodes,2,0
genus,Catalebeda,8,2
genus,Catalectis,4,0
genus,Catalexis,1,0
genus,Cataloxia,3,0
genus,Catamacta,7,2
genus,Catameces,1,0
genus,Catamelas,86,0
genus,Catamola,2,0
genus,Catancyla,1,0
genus,Catanomistis,1,0
genus,Catapoecilma,20,0
genus,Cataprosopus,3,0
genus,Catapsephis,5,0
genus,Catapsilothrix,2,0
genus,Catarata,18,0
genus,Catargynnis,15,0
genus,Catarhoe,23,2
genus,Catascythris,1,0
genus,Cataspilates,7,0
genus,Catastega,9,1
genus,Catastia,8,0
genus,Catasticta,189,2
genus,Cataxipha,1,0
genus,Catazetema,1,0
genus,Catephia,65,3
genus,Catephia_auctorum,1,0
genus,Cateristis,3,0
genus,Cathaemacta,2,0
genus,Catharisa,1,0
genus,Catharylla,5,0
genus,Cathayia,2,0
genus,Cathegesis,1,0
genus,Cathyalia,5,1
genus,Cathydata,2,0
genus,Catocala,334,111
genus,Catocalinae Unavailable Genus,2,0
genus,Catocalopsis,1,0
genus,Catochrysops,27,2
genus,Catocrocis,1,0
genus,Catocyclotis,2,0
genus,Catolbistis,1,0
genus,Catonephele,16,6
genus,Catophoenissa,4,0
genus,Catopsilia,21,6
genus,Catopta,21,0
genus,Catoptria,103,6
genus,Catopyla,1,1
genus,Catopyrops,24,0
genus,Catoria,27,2
genus,Catoria_auctorum,2,0
genus,Catoryctis,11,0
genus,Catoxophylla,1,0
genus,Caudellia,8,1
genus,Caularis,4,0
genus,Caulastrocecis,3,1
genus,Caustella,3,0
genus,Cautaeschra,2,0
genus,Cautatha,1,0
genus,Cautethia,11,3
genus,Caviana,1,0
genus,Cavipalpia,2,1
genus,Caviria,13,0
genus,Cayennia,1,0
genus,Cecharismena,4,2
genus,Cechenena,14,1
genus,Cecidipta,4,1
genus,Cecidoses,3,1
genus,Cecidothyris,8,1
genus,Cecryphalus,2,0
genus,Cedestis,2,2
genus,Ceilodiastrophon,2,0
genus,Celaenaclystis,2,0
genus,Celaenorrhinus,132,10
genus,Celastrina,122,7
genus,Celazia,1,0
genus,Celenna,11,0
genus,Celerena,37,1
genus,Celidomphax,4,1
genus,Celiptera,8,1
genus,Celonoptera,1,0
genus,Celotes,2,2
genus,Celypha,23,5
genus,Cenochlora,1,0
genus,Centrochria,3,0
genus,Centroctena,2,2
genus,Centrometopia,3,0
genus,Centronaxa,4,0
genus,Centropseustis,1,0
genus,Centroxena,1,0
genus,Cephalissa,1,0
genus,Cephalophyes,4,0
genus,Cephalospargeta,1,0
genus,Cephena,1,0
genus,Cephimallota,4,0
genus,Cephise,2,0
genus,Cephitinea,3,2
genus,Cephonodes,26,4
genus,Cephrenes,22,4
genus,Cepora,113,7
genus,Cepphis,4,3
genus,Cepphis_auctorum,1,0
genus,Ceracanthia,2,0
genus,Cerace,24,3
genus,Ceramea,1,0
genus,Ceranchia,1,0
genus,Ceranemota,8,3
genus,Cerasana,2,0
genus,Ceratagra,1,0
genus,Ceratarcha,1,0
genus,Ceratesa,1,0
genus,Cerathosia,2,0
genus,Ceratobia,4,0
genus,Ceratocilia,2,0
genus,Ceratodalia,1,1
genus,Ceratomia,7,5
genus,Ceratonema,16,0
genus,Ceratonetha,1,0
genus,Ceratonyx,4,1
genus,Ceratophaga,15,1
genus,Ceratoscopa,1,0
genus,Ceratosticha,1,0
genus,Ceratostrotia,2,0
genus,Ceratothalama,1,0
genus,Ceratoxanthis,5,0
genus,Ceratrichia,23,1
genus,Ceratuncus,5,0
genus,Cerberolebeda,1,0
genus,Cercocladia,2,0
genus,Cerconota,20,0
genus,Cercophana,2,0
genus,Cercopimorpha,7,0
genus,Cereophagus,1,1
genus,Ceridia,3,0
genus,Ceritaenia,1,0
genus,Cerma,3,2
genus,Cernia,1,0
genus,Cerocala,27,0
genus,Ceroctena,1,0
genus,Cerodirphia,51,2
genus,Cerofrontia,1,0
genus,Ceromacra,6,0
genus,Ceromitia,93,1
genus,Ceropoda,1,0
genus,Ceroprepes,8,1
genus,Certima,29,1
genus,Cerurographa,1,0
genus,Cervaria,1,0
genus,Cervicrambus,1,0
genus,Cerynea,132,1
genus,Ceryx,61,0
genus,Cethosia,97,6
genus,Ceuthelea,1,0
genus,Ceuthobotys,1,0
genus,Ceutholopha,2,1
genus,Chabula,1,0
genus,Chadisra,15,0
genus,Chaeopsestis,1,0
genus,Chaerocina,10,0
genus,Chaetoceras,9,0
genus,Chaetocneme,22,0
genus,Chaetolopha,13,0
genus,Chaetolopha_auctorum,1,0
genus,Chaetoprocta,2,1
genus,Chaetopyga,1,0
genus,Chaetostephana,3,0
genus,Chalarotona,5,0
genus,Chalastra,4,2
genus,Chalceopla,6,0
genus,Chalcidica,3,0
genus,Chalcidoptera,14,3
genus,Chalciope,7,1
genus,Chalcocelis,4,1
genus,Chalcoecia,7,0
genus,Chalcoela,4,1
genus,Chalcomima,1,0
genus,Chalcone,5,0
genus,Chalconycles,5,0
genus,Chalcophaedra,1,0
genus,Chalcoscelides,1,1
genus,Chalcosia,40,3
genus,Chalcosia_auctorum,1,0
genus,Chalcosiopsis,2,0
genus,Chalenata,7,0
genus,Chalestra,5,0
genus,Chaliniastis,1,0
genus,Chalinophrura,1,0
genus,Chalodeta,8,0
genus,Chalyboclydon,1,0
genus,Chalybs,3,1
genus,Chamaelimnas,16,0
genus,Chamelania,2,0
genus,Chamunda,1,0
genus,Chamyna,4,0
genus,Chamyrisilla,1,0
genus,Chandica,3,0
genus,Changea,2,0
genus,Chaograptis,3,0
genus,Chapoania,1,0
genus,Chara,2,0
genus,Characovalva,2,0
genus,Charadra,10,0
genus,Charadraula,3,0
genus,Charana,6,1
genus,Chararica,3,0
genus,Charca,1,0
genus,Chariaspilates,4,1
genus,Charicrita,3,0
genus,Charidia,5,0
genus,Charierges,2,0
genus,Chariphylla,1,0
genus,Charis,40,1
genus,Charissa,69,0
genus,Charistia,1,0
genus,Charistica,9,0
genus,Charitographa,1,0
genus,Charitoleuca,1,0
genus,Charitopsycha,1,0
genus,Charitostega,1,0
genus,Charixena,1,1
genus,Charltona,24,0
genus,Charltoniada,2,0
genus,Charmion,6,0
genus,Charmodia,1,0
genus,Charmoses,1,0
genus,Charoblemma,2,0
genus,Charonias,9,0
genus,Chartographa,8,0
genus,Chasinia,1,0
genus,Chatamla,1,0
genus,Chavarriella,17,0
genus,Chedra,4,0
genus,Cheillophota,2,0
genus,Cheimoptena,1,0
genus,Chelecala,1,0
genus,Chelepteryx,2,2
genus,Chelichares,1,0
genus,Cheligium,7,0
genus,Chelonomorpha,5,1
genus,Chelophoba,1,0
genus,Cheloterma,1,0
genus,Chemerina,3,0
genus,Cheneya,3,0
genus,Chenuala,1,1
genus,Cherchera,1,0
genus,Chereuta,3,0
genus,Cheritra,15,1
genus,Cheritrella,2,0
genus,Cheromettia,5,4
genus,Cheroscelis,1,0
genus,Chersogenes,7,0
genus,Chersomorpha,4,0
genus,Chersonesia,15,2
genus,Chesiadodes,13,0
genus,Chesias,17,2
genus,Chesistege,3,0
genus,Chetone,23,0
genus,Chevalierella,1,1
genus,Chiangmaiana,2,0
genus,Chiasmia,269,1
genus,Chiasmiodes,1,0
genus,Chibidokuga,2,0
genus,Chibiraga,1,0
genus,Chicotortrix,1,0
genus,Chihuo,2,0
genus,Chilades,20,3
genus,Chilandrus,1,0
genus,Chilecomadia,2,0
genus,Chilena,3,1
genus,Chileulia,1,1
genus,Chilioprocris,1,0
genus,Chilips,2,0
genus,Chilkasa,1,0
genus,Chilo,66,23
genus,Chilochroma,3,0
genus,Chilochromopsis,1,0
genus,Chilocorsia,1,0
genus,Chilocremastis,1,0
genus,Chilomima,1,1
genus,Chilopionea,1,0
genus,Chilopselaphus,8,0
genus,Chilozela,1,1
genus,Chimastrum,3,0
genus,Chimoptesis,4,1
genus,Chinchipena,1,0
genus,Chingizid,2,0
genus,Chinocossus,5,0
genus,Chioides,7,1
genus,Chiomara,11,3
genus,Chionaemopsis,1,0
genus,Chionellidea,1,0
genus,Chionobosca,2,0
genus,Chionodes,115,41
genus,Chionodiptera,2,0
genus,Chionogenes,3,0
genus,Chionoplema,3,0
genus,Chionopora,1,0
genus,Chionopsyche,3,0
genus,Chionoreas,1,0
genus,Chionosia,2,0
genus,Chionothremma,29,0
genus,Chionoxantha,13,0
genus,Chiqua,1,0
genus,Chiraps,4,0
genus,Chironeura,1,0
genus,Chitasida,1,0
genus,Chlamydastis,89,0
genus,Chlanidophora,3,0
genus,Chlenias,16,4
genus,Chlenomorpha,3,0
genus,Chliaria,20,3
genus,Chlidanota,1,0
genus,Chloephila,1,0
genus,Chloephorinae New Genus 1,2,0
genus,Chloeria,1,0
genus,Chloethripa,3,0
genus,Chloractis,1,0
genus,Chloraspilates,5,0
genus,Chlorerythra,3,1
genus,Chlorhoda,12,0
genus,Chloridea,21,0
genus,Chloriola,1,0
genus,Chlorissa,47,7
genus,Chloristola,1,0
genus,Chlorobapta,1,0
genus,Chlorochadisra,5,0
genus,Chlorochlamys,4,3
genus,Chloroclanis,2,0
genus,Chloroclydon_auctorum,2,0
genus,Chloroclysta,4,2
genus,Chloroclystis,26,1
genus,Chloroclystis_auctorum,133,0
genus,Chlorocoma,27,0
genus,Chlorocrisia,1,0
genus,Chloroctenis,3,0
genus,Chlorodes,1,1
genus,Chlorodontopera,3,0
genus,Chlorodrepana,9,0
genus,Chlorogenia,2,0
genus,Chloroglyphica,6,0
genus,Chlorograpta,20,0
genus,Chlorolychnis,1,0
genus,Chloromianta,2,0
genus,Chloromma,1,0
genus,Chloroparda,1,0
genus,Chloropaschia,23,0
genus,Chloroplaga,2,0
genus,Chloropteryx,28,2
genus,Chlororithra,1,0
genus,Chlorortha,1,0
genus,Chlorosea,5,2
genus,Chlorosterrha,3,0
genus,Chlorostrymon,4,2
genus,Chlorotimandra,1,0
genus,Chlorozada,4,1
genus,Chlorozancla,1,0
genus,Chlumetia,16,4
genus,Choanograptis,15,0
genus,Choaspes,19,5
genus,Chocophorus,5,0
genus,Chodda,2,0
genus,Choeropais,1,0
genus,Choerotricha,3,0
genus,Cholomiza,2,0
genus,Cholotis,2,1
genus,Chondrolepis,5,3
genus,Chondrosoma,1,0
genus,Chora,11,1
genus,Choranthus,7,3
genus,Choreutis,99,4
genus,Chorinea,11,0
genus,Choristenes,1,0
genus,Choristoneura,43,21
genus,Choristostigma,8,0
genus,Chorivalva,3,0
genus,Chorizomena,1,0
genus,Chorodna,50,2
genus,Chorodnodes,1,0
genus,Chorrera,3,0
genus,Chorsia,14,0
genus,Chortonoeca,1,0
genus,Chretienella,1,0
genus,Chrioloba,18,0
genus,Chrismania,1,0
genus,Chrismopteryx,6,0
genus,Christophia,17,3
genus,Chromodes,1,0
genus,Chrysaegliodes,1,0
genus,Chrysallactis,1,0
genus,Chrysamma,4,0
genus,Chrysartona,1,0
genus,Chrysaster,2,1
genus,Chrysauge,7,0
genus,Chrysectropa,1,0
genus,Chrysendeton,6,0
genus,Chrysiridia,2,1
genus,Chrysium,1,0
genus,Chrysoblephara,1,0
genus,Chrysobotys,1,1
genus,Chrysocale,14,0
genus,Chrysocentris,6,0
genus,Chrysocestis,3,0
genus,Chrysochloroma,8,0
genus,Chrysochlorosia,4,0
genus,Chrysoclista,14,0
genus,Chrysoclystis,2,0
genus,Chrysocrambus,21,0
genus,Chrysocraspeda,167,4
genus,Chrysocrata,1,0
genus,Chrysocyma,6,0
genus,Chrysodesmia,1,0
genus,Chrysoesthia,18,7
genus,Chrysograpta,1,0
genus,Chrysolarentia,80,0
genus,Chrysolytis,1,0
genus,Chrysomesia,2,0
genus,Chrysomima,2,0
genus,Chrysonicara,1,0
genus,Chrysopeleia,2,1
genus,Chrysopeleiinae New Genus 1,2,0
genus,Chrysopeleiinae New Genus 2,2,0
genus,Chrysopeleiinae New Genus 3,2,0
genus,Chrysopera,1,0
genus,Chrysophila,4,0
genus,Chrysophyllis,1,0
genus,Chrysoplectrum,10,2
genus,Chrysopoloma,15,0
genus,Chrysopolomides,1,0
genus,Chrysopsyche,14,2
genus,Chrysorithrum,4,1
genus,Chrysoritis,1,0
genus,Chrysoscinia,1,0
genus,Chrysoscota,8,0
genus,Chrysotaenia,1,0
genus,Chrysoteuchia,29,1
genus,Chrysothyridia,2,0
genus,Chrysotypus,18,1
genus,Chrysoxena,1,0
genus,Chrysoxestis,1,0
genus,Chrysozana,1,0
genus,Chrysozephyrus,58,12
genus,Chundana,7,1
genus,Churia,5,1
genus,Chusaris,30,0
genus,Chysopeleia,1,0
genus,Chytonidia,3,0
genus,Ciampa,4,1
genus,Cibyra,62,1
genus,Cicia,6,1
genus,Cicinnus,53,4
genus,Cidaria,7,1
genus,Cidaria_auctorum,8,0
genus,Cidariophanes,24,0
genus,Cidariplura,8,0
genus,Cifuna,1,0
genus,Cigaritis,26,2
genus,Cilaus,1,0
genus,Cilicitis,1,0
genus,Ciliocera,1,0
genus,Ciliocerodes,1,0
genus,Cilix,9,2
genus,Cimeliomorpha,2,1
genus,Cimicodes,9,0
genus,Cimola,1,0
genus,Cinabra,4,1
genus,Cincia,2,0
genus,Cincorunia,1,0
genus,Cingilia,2,1
genus,Cinglis,2,0
genus,Cinnerethica,1,0
genus,Cinommata,1,0
genus,Ciraphorus,1,0
genus,Circapina,1,0
genus,Circobotys,13,1
genus,Circopetes,1,0
genus,Circoxena,1,0
genus,Cirina,3,2
genus,Cirrhochrista,38,4
genus,Cirrhorheuma,3,0
genus,Cirrhosoma,2,0
genus,Cirrhura,1,0
genus,Cirrilaspeyresia,2,1
genus,Cirriphora,1,1
genus,Cirrochroa,81,5
genus,Cirrolygris,2,0
genus,Cirrothaumatia,3,0
genus,Cirsodes,7,0
genus,Cisaucula,1,0
genus,Cispia,8,0
genus,Cissachroa,1,0
genus,Cisseps,6,0
genus,Cissura,4,0
genus,Cissusa,7,1
genus,Citharalia,1,0
genus,Citheronia,29,15
genus,Citheronioides,2,0
genus,Citheronula,2,0
genus,Citioica,4,0
genus,Citrinarchis,1,0
genus,Citrinophila,9,2
genus,Citripestis,3,2
genus,Cizara,2,1
genus,Cladara,4,2
genus,Cladarodes,1,0
genus,Cladenia,1,0
genus,Cladobrostis,1,0
genus,Cladophantis,3,0
genus,Cladoxycanus,1,0
genus,Claduncaria,2,0
genus,Clamara,1,0
genus,Clanidopsis,1,0
genus,Clanis,22,4
genus,Claphidia,2,0
genus,Clapra,8,0
genus,Clapronia,1,0
genus,Clargia,1,0
genus,Clarina,2,0
genus,Clarkeia,1,0
genus,Clarkenia,5,0
genus,Clarkeulia,38,4
genus,Classeya,13,0
genus,Claterna,8,0
genus,Clatrodes,1,0
genus,Clavigesta,2,2
genus,Clelea,34,1
genus,Clematoessa,4,0
genus,Clemendana,1,0
genus,Cleoda,3,0
genus,Cleoeromene,1,0
genus,Cleopatrina,1,0
genus,Cleora,256,18
genus,Cleora_auctorum,1,0
genus,Cleorodes,4,1
genus,Clepsicosma,1,0
genus,Clepsigenes,1,0
genus,Clepsimacha,1,0
genus,Clepsimelea,2,0
genus,Clepsimorpha,1,0
genus,Clepsiphron,1,0
genus,Clepsiphyes,1,0
genus,Clepsis,142,13
genus,Cleptacaca,1,0
genus,Clepticodes,3,0
genus,Cleptocosmia,1,0
genus,Cleptotypodes,1,0
genus,Clerarcha,4,0
genus,Clerogenes,2,0
genus,Cleta,5,0
genus,Clethrogyna,16,0
genus,Clethrophora,2,0
genus,Clettharina,2,0
genus,Cliniodes,21,0
genus,Clinograptis,1,0
genus,Clistothyris,5,0
genus,Clito,9,0
genus,Cloniatarphes,1,0
genus,Clonuncaria,2,0
genus,Clupeosoma,20,0
genus,Clydonopteron,1,1
genus,Clytie,29,4
genus,Clytoscopa,2,0
genus,Cnaemidophorus,2,1
genus,Cnaphalocrocis,37,8
genus,Cnaphostola,1,0
genus,Cnephasia,80,12
genus,Cnephasiini Unplaced Species,34,0
genus,Cnephasitis,4,0
genus,Cnephidia,3,0
genus,Cnephora,8,0
genus,Cnesteboda,9,1
genus,Cnethodonta,7,0
genus,Cnismorectis,1,0
genus,Cnissostages,3,0
genus,Cnodontes,4,1
genus,Coarica,1,1
genus,Cobaloides,1,0
genus,Cobalopsis,12,0
genus,Cobalus,8,2
genus,Coccothera,2,1
genus,Cochisea,9,1
genus,Cochliopodina,1,0
genus,Cochylidia,9,6
genus,Cochylidichnium,1,0
genus,Cochylimorpha,90,7
genus,Cochylini New Genus 1,2,0
genus,Cochylini New Genus 2,2,0
genus,Cochylini New Genus 3,2,0
genus,Cochylini New Genus 4,2,0
genus,Cochylini New Genus 5,3,0
genus,Cochylini New Genus 6,2,0
genus,Cochylini Unplaced Species,28,0
genus,Cochylis,75,11
genus,Coconympha,1,1
genus,Cocytia,103,0
genus,Cocytius,5,2
genus,Codalithia,1,0
genus,Codatractus,13,1
genus,Codonodes,2,1
genus,Coeliades,24,10
genus,Coelobathra,1,0
genus,Coelocrossa,2,0
genus,Coelonia,5,2
genus,Coelophoris,9,0
genus,Coeloptera,3,0
genus,Coelorhyncidia,6,0
genus,Coelostathma,6,1
genus,Coelostathma Group,6,0
genus,Coeloturatia,1,0
genus,Coelura,5,0
genus,Coeluromima,1,0
genus,Coelurotricha,1,0
genus,Coenina,8,1
genus,Coenobasis,10,2
genus,Coenobela,2,0
genus,Coenobiodes,2,0
genus,Coenocalpe,2,1
genus,Coenochroa,6,0
genus,Coenodomus,11,1
genus,Coenolarentia,1,0
genus,Coenostolopsis,2,0
genus,Coenotes,2,1
genus,Coenotoca,3,0
genus,Coenotropa,3,0
genus,Coequosa,2,1
genus,Coeranica,3,0
genus,Coeriana,21,0
genus,Coeruleotaygetis,1,0
genus,Cofimpacia,3,0
genus,Cogia,28,1
genus,Coiffaitarctia,4,0
genus,Coironalia,2,0
genus,Cola,2,0
genus,Colabata,10,0
genus,Colaciticus,2,0
genus,Coladenia,15,0
genus,Colbusa,2,0
genus,Coleocornutia,2,0
genus,Coleopholas,1,0
genus,Coleophora,991,311
genus,Coleophorides,1,0
genus,Coleostoma,1,0
genus,Coleotechnites,50,42
genus,Colias,205,17
genus,Colla,19,0
genus,Collartisa,1,0
genus,Collenettea,1,0
genus,Collesis,2,0
genus,Collinsa,4,0
genus,Collix,40,0
genus,Collocaliodes,5,0
genus,Collogenes,2,0
genus,Colnettia,1,0
genus,Colobochyla,4,4
genus,Colobocrossa,1,0
genus,Colobura,4,1
genus,Colocasia,23,0
genus,Colocleora,76,5
genus,Colomychus,1,0
genus,Colonanthes,1,0
genus,Colonophora,2,0
genus,Coloptilia,1,0
genus,Coloradia,15,3
genus,Colostygia,46,4
genus,Colosyta,1,0
genus,Colotis,117,35
genus,Colotois,9,1
genus,Colpocraspeda,1,0
genus,Colpocrita,1,0
genus,Colpodonta,3,0
genus,Coltopela,2,0
genus,Comadia,16,4
genus,Comana,14,0
genus,Comanula,1,0
genus,Combosclera,1,0
genus,Comella,4,0
genus,Cometaster,1,0
genus,Comibaena,62,12
genus,Commatica,22,0
genus,Commophila,2,1
genus,Commotria,33,0
genus,Comocritis,14,3
genus,Comocrus,1,1
genus,Comodica,14,0
genus,Comorta,2,0
genus,Comostola,59,5
genus,Comostolodes,4,0
genus,Comostolopsis,25,0
genus,Comotechna,6,0
genus,Comotia,2,0
genus,Compacta,2,0
genus,Compactena,2,1
genus,Comphotis,3,0
genus,Complutia,1,0
genus,Composia,4,0
genus,Compsenia,10,0
genus,Compsistis,6,0
genus,Compsocrita,1,0
genus,Compsoctena,48,1
genus,Compsolechia,112,3
genus,Compsophila,1,0
genus,Compsopsectra,1,0
genus,Compsoptera,6,1
genus,Compsosaris,2,0
genus,Compsotorna,2,0
genus,Compsulyx,1,0
genus,Concana,5,0
genus,Conchiophora,1,0
genus,Conchylia,17,0
genus,Conchyliodes,1,0
genus,Conchylodes,18,3
genus,Condate,10,0
genus,Condylolomia,3,0
genus,Condylorrhiza,4,2
genus,Conga,6,1
genus,Coniastis,1,0
genus,Coniesta,1,1
genus,Conigephyra,10,0
genus,Coniogenes,1,0
genus,Coniogyra,1,0
genus,Coniortodes,1,0
genus,Coniostola,4,1
genus,Conobathra,16,4
genus,Conocramboides,1,1
genus,Conocrambus,5,0
genus,Conogethes,7,3
genus,Conognathus,1,0
genus,Conolophia,10,0
genus,Conopomorpha,8,2
genus,Conopotarsa,1,0
genus,Conosara,2,0
genus,Conotalis,3,0
genus,Contheyla,8,0
genus,Contheyloides,1,0
genus,Contiger,1,0
genus,Contortipalpia,1,0
genus,Contrafacia,4,0
genus,Contralissa,1,0
genus,Contropis,1,0
genus,Cooksonia,3,1
genus,Copaeodes,5,1
genus,Copamyntis,6,2
genus,Copaxa,82,16
genus,Cophanta,2,0
genus,Cophocerotis,11,0
genus,Cophophlebia,3,0
genus,Copibryophila,1,0
genus,Copidoris,1,0
genus,Copidostoma,1,0
genus,Copiopteryx,14,1
genus,Copobathra,1,0
genus,Copocentra,5,0
genus,Coproptilia,1,0
genus,Coptarthria,1,0
genus,Copticostola,1,0
genus,Coptobasis,7,1
genus,Coptobasoides,7,0
genus,Coptodisca,17,16
genus,Coptoproctis,1,0
genus,Coptotelia,13,0
genus,Coptotriche,15,0
genus,Corcobara,1,0
genus,Corcyra,2,1
genus,Cordelia,2,1
genus,Coreana,3,1
genus,Coremata,1,0
genus,Coremecis,4,0
genus,Corethrobela,1,0
genus,Corgatha,92,5
genus,Corgathalia,1,0
genus,Coribapta,2,0
genus,Coristaca,1,0
genus,Corma,6,0
genus,Cornesia,2,0
genus,Corneulia,1,0
genus,Cornifrons,6,1
genus,Cornuclepsis,1,0
genus,Cornusaccula,1,0
genus,Cornuterus,4,0
genus,Cornuticlava,8,0
genus,Coronidia,3,0
genus,Corrachia,1,0
genus,Correbia,21,1
genus,Corsa,326,0
genus,Corsocasis,3,1
genus,Corticea,12,2
genus,Corticivora,4,1
genus,Corticomis,2,0
genus,Cortixa,1,0
genus,Cortyta,13,0
genus,Corubia,1,0
genus,Corula,1,0
genus,Coruncala,1,0
genus,Corymica,17,3
genus,Corynaea,1,0
genus,Corynitis,1,0
genus,Corynophora,3,1
genus,Coryphista,3,1
genus,Coryphodema,1,1
genus,Coryptilum,4,0
genus,Coryssovalva,1,0
genus,Corythangela,1,1
genus,Corythophora,1,0
genus,Coscaga,1,0
genus,Coscinia,19,0
genus,Coscinocera,9,1
genus,Cosipara,5,0
genus,Cosmardia,1,1
genus,Cosmaresta,13,0
genus,Cosmeombra,1,0
genus,Cosmeptera,6,0
genus,Cosmethella,3,0
genus,Cosmetra,2,1
genus,Cosmiophrys,2,0
genus,Cosmiosophista,1,0
genus,Cosmoclostis,10,2
genus,Cosmodes,1,1
genus,Cosmogonia,1,0
genus,Cosmophila,3,0
genus,Cosmophyga,7,0
genus,Cosmopoda,2,0
genus,Cosmopterigidae Unplaced Species,21,0
genus,Cosmopteriginae Unplaced Species,5,0
genus,Cosmopterix,149,27
genus,Cosmopterosis,1,0
genus,Cosmorhoe,9,1
genus,Cosmorrhyncha,5,0
genus,Cosmosatyrus,3,0
genus,Cosmosoma,138,0
genus,Cosmothyris,1,0
genus,Cosmotriche,14,1
genus,Cossedia,7,0
genus,Cossodes,1,0
genus,Cossula,19,2
genus,Cossulus,29,0
genus,Cossus,44,3
genus,Costaconvexa,4,2
genus,Costarcha,1,0
genus,Costoma,2,0
genus,Costosa,3,0
genus,Costria,8,0
genus,Cosuma,5,1
genus,Cotachena,8,1
genus,Cotaena,1,0
genus,Cotana,23,0
genus,Cotta,2,0
genus,Coudia,1,0
genus,Cowania,1,0
genus,Coxina,7,0
genus,Coydalla,1,0
genus,Cozola,13,0
genus,Craftsia,1,0
genus,Cragia,2,0
genus,Crambiforma,1,0
genus,Crambixon,1,0
genus,Crambodoxa,1,0
genus,Crambophilia,2,0
genus,Crambus,176,10
genus,Crameria,2,1
genus,Cranaodes,3,0
genus,Craniophora,23,4
genus,Craniosara,1,0
genus,Crasilogia,6,0
genus,Crasimorpha,2,1
genus,Craspediopsis,5,0
genus,Craspedortha,3,0
genus,Craspedosada,1,0
genus,Craspedosis,102,0
genus,Craspedotis,4,0
genus,Craspia_auctorum,3,0
genus,Craterobathra,4,0
genus,Cratoplastis,4,0
genus,Cratoptera,13,0
genus,Creagra,2,0
genus,Creatonotos,21,0
genus,Cremastobombycia,6,6
genus,Crembalastis,1,0
genus,Cremna,14,0
genus,Cremnophila,3,0
genus,Cremnophora,1,1
genus,Cremopalpus,1,0
genus,Crenotermes,2,0
genus,Crenularia,3,0
genus,Creobota,2,0
genus,Creon,2,1
genus,Crepidochares,5,0
genus,Cresera,10,0
genus,Crestonica,6,0
genus,Cretonia,8,0
genus,Creusa,1,0
genus,Cricula,51,3
genus,Crimnologa,2,0
genus,Crinala,1,0
genus,Crinocraspeda,2,0
genus,Crinodes,9,0
genus,Crinopteryx,1,0
genus,Crioa,5,0
genus,Crionica,4,1
genus,Criophthona,9,0
genus,Cristia,1,0
genus,Cristulosia,2,0
genus,Crithote,4,1
genus,Criticonoma,10,0
genus,Crobylophanes,1,0
